metric_group,log_name,metric,value,unit,value_numeric
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_610,2965181,points,2965181.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_611,2981710,points,2981710.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_612,2991023,points,2991023.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_613,2998724,points,2998724.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_614,3004948,points,3004948.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_615,3010073,points,3010073.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_616,3013583,points,3013583.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_617,3016071,points,3016071.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_618,3018648,points,3018648.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_619,3019809,points,3019809.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_620,3020951,points,3020951.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_621,3021820,points,3021820.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_622,3022271,points,3022271.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_623,3022681,points,3022681.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_624,3025300,points,3025300.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_625,3026659,points,3026659.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_626,3026820,points,3026820.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_627,3028295,points,3028295.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_628,3041277,points,3041277.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_629,3053519,points,3053519.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_630,3065555,points,3065555.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_631,3076668,points,3076668.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_632,3093076,points,3093076.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_633,3112257,points,3112257.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_634,3122987,points,3122987.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_635,3128986,points,3128986.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_636,3132699,points,3132699.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_637,3135407,points,3135407.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_638,3156001,points,3156001.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_639,3165072,points,3165072.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_640,3173023,points,3173023.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_641,3179965,points,3179965.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_642,3184172,points,3184172.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_643,3197363,points,3197363.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_644,3206229,points,3206229.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_645,3211081,points,3211081.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_646,3213941,points,3213941.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_647,3215820,points,3215820.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_648,3216765,points,3216765.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_649,3217343,points,3217343.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_650,3217681,points,3217681.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_651,3217912,points,3217912.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_652,3218074,points,3218074.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_653,3218268,points,3218268.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_654,3218756,points,3218756.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_655,3220515,points,3220515.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_656,3221501,points,3221501.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_657,3221994,points,3221994.0
