"FullName","SizeMB","LastWriteTime","RelevanceScore","Signals","HybridDatasetConfirmed"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_train_workers0.log","0.01","8/23/2026 2:11:37 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_train_localfs.log","0.01","8/23/2026 2:02:00 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_train_retry3.log","0.01","8/23/2026 1:52:39 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_train_retry2.log","0.01","8/23/2026 1:47:10 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_train_retry.log","0.01","8/23/2026 1:36:45 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\03_nerfstudio_colmap_results_2026-08-23.txt","0.007","8/23/2026 1:21:32 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\powershell_session.txt","0.001","8/22/2026 4:50:10 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\01_realityscan_sfm_2026-08-22_16-46-20.txt","0.003","8/22/2026 4:46:21 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\00_dataset_input_2026-08-22_16-00-31.txt","0.002","8/22/2026 4:00:36 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji\09_ffmpeg_splatfacto_video.log","0.006","8/13/2026 8:05:03 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji\08_render_splatfacto_dataset.log","0.002","8/13/2026 7:19:25 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji\10_export_gaussian_splat_ply.log","0.001","8/13/2026 7:04:50 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\99_experiment_summary.log","0.001","8/13/2026 3:29:55 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\10_export_gaussian_splat_ply.log","0.001","8/13/2026 3:18:52 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\09_ffmpeg_splatfacto_video.log","0.006","8/13/2026 3:16:01 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\08_render_splatfacto_dataset.log","0.002","8/13/2026 3:14:29 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\07_train_splatfacto.log","4.325","8/13/2026 3:09:19 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\06_ffmpeg_nerfacto_video.log","0.006","8/13/2026 12:32:51 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\05_render_nerfacto_dataset.log","0.002","8/13/2026 12:31:53 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\04_train_nerfacto.log","4.316","8/13/2026 11:40:08 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\01_realityscan_alignment.log","0.001","8/13/2026 10:26:48 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\insta360\00_dataset_info.log","0.001","8/13/2026 9:39:58 AM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\03_nerfstudio_colmap_model_analyzer.txt","0.001","8/25/2026 11:00:27 AM","2","PATH_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\01_realityscan_sfm_2026-08-22.txt","0.004","8/25/2026 11:00:27 AM","2","PATH_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji\03_nerfstudio_dataset_conversion_max600.log","0.001","8/25/2026 11:00:27 AM","2","PATH_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji\03_nerfstudio_dataset_conversion.log","0.001","8/25/2026 11:00:27 AM","2","PATH_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\render-panteon\render-nerf-train.log","0.007","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\render-panteon\render-splat-train.log","0.001","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\07_metrics\experiment-summary.txt","0.004","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\07_metrics\checkpoints.txt","0","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\06_exports\export-splat-ds8.log","0.006","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\05_renders\nerfacto-render-success.log","0.007","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\05_renders\splatfacto-render-success.log","0.001","8/25/2026 11:00:27 AM","2","CONTENT_DJI","False"
